employee_id,name,department,email,employment_status
EMP001,Harjeet Singh,Information Technology,harjeet1.singh@paytm.com,Active
EMP002,Rajesh Kumar,Customer Service,paytmapp.bd001@paytm.com,Active
EMP003,Priya Sharma,Digital Marketing,paytmapp.bd002@paytm.com,Active
EMP004,Amit Patel,Operations,paytmapp.bd003@paytm.com,Active
EMP005,Neha Gupta,Human Resources,paytmapp.bd004@paytm.com,Active
EMP006,Suresh Singh,Finance,paytmapp.bd005@paytm.com,Active
EMP007,Kavita Mehta,Customer Support,disha.bhartaria@paytm.com,Inactive
EMP008,Rohit Jain,Product Management,dheerendra.mishra@paytm.com,Active
EMP009,Anjali Verma,Quality Assurance,paytmapp.bd007@paytm.com,Active
EMP010,Vikram Rao,Business Development,paytmapp.bd011@paytm.com,Active
EMP011,Deepika Agarwal,Legal,paytmapp.bd012@paytm.com,Active
EMP012,Manish Tiwari,Engineering,paytmapp.bd008@paytm.com,Inactive
EMP013,Ritu Bansal,Sales,paytmapp.bd009@paytm.com,Active
EMP014,Arun Mishra,Data Analytics,paytmapp.bd0010@paytm.com,Active
EMP015,Pooja Kapoor,Marketing,paytmapp.bd018@paytm.com,Active
EMP016,Sanjay Yadav,Information Technology,salesforcesystemadmin@paytm.com,Active
EMP017,Meera Joshi,Customer Service,palash.kulshreshtha@paytm.com,Active
EMP018,Ashish Srivastava,Digital Marketing,movies@paytm.com,Inactive
EMP019,Sonali Dubey,Operations,aziz.zaidi@paytm.com,Active
EMP020,Karan Chopra,Human Resources,rachna@paytm.com,Active
EMP021,Shruti Pandey,Finance,kavender.kumar@paytm.com,Active
EMP022,Rahul Saxena,Customer Support,ankur.tyagi@paytmpayments.com,Active
EMP023,Nisha Arora,Product Management,marketcarriers@paytm.com,Active
EMP024,Vinay Bhardwaj,Quality Assurance,travelpartners@paytm.com,Inactive
EMP025,Swati Malhotra,Business Development,anant.bhavsar@paytmpayments.com,Active
EMP026,Gaurav Chandra,Legal,ffservice.vinculum@paytm.com,Active
EMP027,Priyanka Nair,Engineering,kapil.bhati@paytm.com,Active
EMP028,Nitin Goyal,Sales,salesforce.tickets@paytm.com,Active
EMP029,Rashmi Iyer,Data Analytics,gaurav.malpani@paytm.com,Active
EMP030,Vivek Reddy,Marketing,ffdelhivery_lucknow@paytm.com,Active
EMP031,Ankita Bajaj,Information Technology,ffdelhivery_guwahati@paytm.com,Active
EMP032,Deepak Bhatt,Customer Service,ffdelhivery_cochin@paytm.com,Inactive
EMP033,Shweta Khurana,Digital Marketing,ffdelhivery_delhi@paytm.com,Active
EMP034,Manoj Tripathi,Operations,service.payout@paytm.com,Active
EMP035,Vaishali Garg,Human Resources,kingcobra.alerts@paytm.com,Active
EMP036,Ajay Thakur,Finance,chandra.prakash@paytm.com,Active
EMP037,Kritika Sinha,Customer Support,ivr.api@paytm.com,Active
EMP038,Devesh Shukla,Product Management,oldpanel@paytm.com,Active
EMP039,Pallavi Bose,Quality Assurance,shivam.singh@paytm.com,Active
EMP040,Tarun Mishra,Business Development,ravi.yadav@paytm.com,Inactive
EMP041,Archana Rawat,Legal,flights.dev@paytm.com,Active
EMP042,Yogesh Chauhan,Engineering,abhinav1.gupta@paytm.com,Active
EMP043,Divya Agarwal,Sales,hotel.admin@paytm.com,Active
EMP044,Mukesh Jain,Data Analytics,movies.admin@paytm.com,Active
EMP045,Ruchi Kalra,Marketing,ajeet.chauhan@paytm.com,Active
EMP046,Santosh Verma,Information Technology,hotels.admin@paytm.com,Active
EMP047,Preeti Sharma,Customer Service,ffservice.gati@paytm.com,Active
EMP048,Harsh Gupta,Digital Marketing,brand.training1@paytm.com,Active
EMP049,Anita Singh,Operations,brand.training2@paytm.com,Inactive
EMP050,Sumit Bansal,Human Resources,deepti.aggarwal@paytm.com,Active
EMP051,Kamlesh Rao,Finance,anchal@paytm.com,Active
EMP052,Sonal Mehta,Customer Support,Beta447526@paytm.com,Active
EMP053,Ravi Pandey,Product Management,events.admin@paytm.com,Active
EMP054,Geeta Tiwari,Quality Assurance,logistics.admin@paytm.com,Active
EMP055,Anand Kumar,Business Development,diy.return@paytm.com,Active
EMP056,Sneha Kapoor,Legal,paytm.playstore@one97.net,Active
EMP057,Pankaj Soni,Engineering,mktqa.auto@paytm.com,Inactive
EMP058,Vandana Ghosh,Sales,ffservice-dtdc@paytm.com,Active
EMP059,Sachin Joshi,Data Analytics,mayank1.tyagi@paytm.com,Active
EMP060,Lakshmi Pillai,Marketing,ffdtdc_delhi@paytm.com,Active
EMP061,Rohit Agarwal,Information Technology,ffdtdc_bangalore@paytm.com,Active
EMP062,Asha Kumari,Customer Service,Uttam.rawat@paytm.com,Active
EMP063,Deepanshu Goyal,Digital Marketing,saurabh2.gupta@paytm.com,Active
EMP064,Manisha Saxena,Operations,deepak6.kumar@paytm.com,Active
EMP065,Nikhil Bhardwaj,Human Resources,Kumar.vinit@paytm.com,Inactive
EMP066,Sunita Malhotra,Finance,ankur2.pandey@paytm.com,Active
EMP067,Abhishek Chandra,Customer Support,flights.admin@paytm.com,Active
EMP068,Smriti Nair,Product Management,fc.delhivery@paytm.com,Active
EMP069,Rajat Goyal,Quality Assurance,wealthmgmt.tech@paytm.com,Active
EMP070,Poornima Iyer,Business Development,sarfraz.alam@paytm.com,Active
EMP071,Akash Reddy,Legal,prashant2.sharma@paytm.com,Active
EMP072,Kavya Bajaj,Engineering,harsh.rawat@paipai.mobi,Active
EMP073,Subhash Bhatt,Sales,trains.admin@paytm.com,Active
EMP074,Richa Khurana,Data Analytics,mohit1.chauhan@paytm.com,Inactive
EMP075,Alok Tripathi,Marketing,merchant.helpdesk@paytm.com,Active
EMP076,Sudha Garg,Information Technology,harshit.jain@paytm.com,Active
EMP077,Vinod Thakur,Customer Service,bus.admin@paytm.com,Active
EMP078,Shilpa Sinha,Digital Marketing,jitul.nair@paytm.com,Active
EMP079,Ramesh Shukla,Operations,testUser1@paytm.com,Active
EMP080,Jyoti Bose,Human Resources,romesh.koul@paytm.com,Active
EMP081,Ashok Mishra,Finance,rajender.rawat@paytm.com,Active
EMP082,Sweta Rawat,Customer Support,labs.sugardaddy.tech@paytm.com,Inactive
EMP083,Naveen Chauhan,Product Management,Motiur.Rahman@paytm.com,Active
EMP084,Madhuri Agarwal,Quality Assurance,farzal.shah@paytm.com,Active
EMP085,Anil Jain,Business Development,prince.priyanshu@paytm.com,Active
EMP086,Rekha Kalra,Legal,vibhav.bajpayi@paytm.com,Active
EMP087,Mohan Verma,Engineering,kapil1.chandel@paytm.com,Active
EMP088,Neelam Sharma,Sales,piyush2.kumar@paytm.com,Active
EMP089,Rajeev Gupta,Data Analytics,ankur.tayal@paytm.com,Active
EMP090,Seema Singh,Marketing,madhur@paytm.com,Active
EMP091,Bharat Bansal,Information Technology,balendra.singh@paytm.com,Inactive
EMP092,Kiran Rao,Customer Service,ashwani3.kumar@paytm.com,Active
EMP093,Tushar Mehta,Digital Marketing,satyam.mishra@paytm.com,Active
EMP094,Shashi Pandey,Operations,shreyas.pai@paytm.com,Active
EMP095,Hemant Tiwari,Human Resources,raman.gugnani@paytm.com,Active
